,Date,Open,High,Low,Close,Volume,Adj Close
339,2015-02-05,17980,18010,17860,17890,533736,17890
340,2015-02-04,17960,18130,17920,18050,650867,18050
341,2015-02-03,18050,18050,17660,17720,739820,17720
342,2015-02-02,17900,18020,17850,17940,684168,17940
343,2015-01-30,18160,18190,18050,18060,520632,18060
344,2015-01-29,18010,18170,17960,17970,525366,17970
345,2015-01-28,17980,18240,17970,18190,459966,18190
346,2015-01-27,18020,18150,18010,18140,802753,18140
347,2015-01-26,17670,17860,17660,17840,219690,17840
348,2015-01-23,17900,17920,17840,17870,609569,17870
349,2015-01-22,17690,17730,17600,17700,235868,17700
350,2015-01-21,17680,17710,17560,17660,416808,17660
351,2015-01-20,17440,17740,17440,17740,646051,17740
352,2015-01-19,17390,17420,17280,17380,504886,17380
353,2015-01-16,17120,17240,16950,17240,1957143,17240
354,2015-01-15,17220,17510,17210,17480,785421,17480
355,2015-01-14,17320,17410,17130,17170,754296,17170
356,2015-01-13,17330,17460,17190,17440,773909,17440
357,2015-01-09,17740,17740,17510,17570,504940,17570
358,2015-01-08,17440,17630,17390,17560,607982,17560
359,2015-01-07,17140,17350,17130,17270,737548,17270
360,2015-01-06,17430,17470,17250,17270,1405279,17270
361,2015-01-05,17720,17930,17590,17780,727713,17780
